PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
291,For,1,1,2
290,Against,8,8,94
290,For,3,3,20
289,For,12,12,99
289,Against,8,8,78
288,For,14,14,142
288,Against,1,1,45
287,Against,4,4,44
287,For,19,19,214
286,Abstain,1,1,7
286,Against,9,9,137
286,For,18,18,129
285,For,9,9,48
285,Against,23,23,208
284,Against,7,7,63
284,Abstain,2,2,9
284,For,31,31,185
283,Abstain,2,2,4
283,For,2,2,1
283,Against,31,31,189
282,For,28,28,182
282,Against,25,25,163
282,Abstain,2,2,4
281,For,1,1,2
281,Against,16,16,105
280,Abstain,4,4,13
280,Against,6,6,42
280,For,21,21,112
279,Abstain,1,1,6
279,Against,15,15,124
279,For,30,30,143
278,Abstain,3,3,5
278,Against,13,13,121
278,For,28,28,153
277,Against,13,13,121
277,For,27,27,154
276,For,14,14,89
276,Against,28,28,151
274,For,31,31,157
274,Against,16,16,118
274,Abstain,1,1,7
273,Against,16,16,133
273,For,3,3,6
272,Against,13,13,93
272,For,29,29,184
272,Abstain,4,4,12
271,Against,29,29,173
271,For,49,49,179
271,Abstain,2,2,9
270,Against,23,23,130
270,Abstain,2,2,7
270,For,5,5,6
269,Abstain,3,3,57
269,Against,6,6,78
269,For,25,25,101
268,Against,17,17,115
268,For,21,21,158
268,Abstain,1,1,7
266,Abstain,4,4,16
266,For,9,9,64
266,Against,21,21,147
265,For,7,7,69
265,Against,21,21,144
265,Abstain,1,1,7
264,Against,10,10,110
263,Against,13,13,110
263,Abstain,2,2,1
263,For,41,41,190
262,Against,21,21,127
262,Abstain,2,2,8
262,For,27,27,131
261,Against,26,26,139
261,Abstain,3,3,8
261,For,26,26,161
260,Against,22,22,189
260,For,21,21,72
260,Abstain,1,1,1
259,For,41,41,250
259,Abstain,1,1,1
259,Against,3,3,29
258,For,2,2,3
258,Abstain,2,2,9
258,Against,29,29,224
257,For,41,41,256
257,Against,1,1,12
257,Abstain,1,1,1
256,Abstain,3,3,12
256,Against,21,21,153
256,For,44,44,163
255,For,12,12,36
255,Abstain,3,3,10
255,Against,21,21,108
254,For,40,40,215
254,Abstain,1,1,1
253,For,26,26,154
253,Abstain,1,1,1
253,Against,10,10,89
252,Against,11,11,87
252,For,1,1,1
251,For,30,30,125
251,Against,4,4,44
250,Against,2,2,3
250,For,41,41,212
250,Abstain,2,2,8
249,For,44,44,218
249,Abstain,1,1,3
249,Against,1,1,1
248,For,5,5,19
248,Abstain,1,1,3
248,Against,47,47,219
246,For,1,1,2
246,Against,3,3,25
245,Against,2,2,2
245,For,42,42,243
245,Abstain,1,1,1
244,Against,4,4,7
244,Abstain,6,6,14
244,For,36,36,213
242,For,37,37,187
242,Against,4,4,46
242,Abstain,3,3,11
241,For,39,39,107
241,Against,15,15,128
240,Abstain,6,6,63
240,For,13,13,37
240,Against,15,15,90
239,For,6,6,23
239,Against,10,10,89
238,For,28,28,97
238,Abstain,8,8,23
238,Against,11,11,103
237,For,39,39,195
236,For,37,37,194
233,For,22,22,112
233,Against,5,5,21
233,Abstain,7,7,26
232,Abstain,4,4,44
232,For,3,3,6
232,Against,22,22,128
231,For,36,36,184
229,Abstain,4,4,63
229,For,29,29,126
229,Against,7,7,37
228,For,14,14,119
228,Against,13,13,83
228,Abstain,1,1,1
227,Abstain,2,2,23
227,Against,13,13,93
227,For,23,23,123
226,Abstain,1,1,2
226,For,31,31,176
226,Against,6,6,39
225,Against,22,22,134
225,For,9,9,24
224,For,22,22,151
224,Abstain,2,2,3
224,Against,11,11,17
223,For,18,18,45
223,Abstain,2,2,17
223,Against,20,20,102
222,Against,33,33,197
222,For,6,6,27
222,Abstain,2,2,4
221,For,28,28,154
221,Abstain,1,1,3
221,Against,16,16,86
219,Against,3,3,22
219,For,1,1,16
218,Abstain,1,1,2
218,Against,28,28,122
218,For,42,42,158
217,Abstain,3,3,25
217,Against,4,4,22
217,For,43,43,155
216,Abstain,3,3,19
216,For,33,33,166
216,Against,11,11,75
215,Against,21,21,126
215,For,35,35,146
215,Abstain,2,2,2
214,For,42,42,190
214,Abstain,1,1,0
214,Against,4,4,6
211,Against,8,8,36
211,Abstain,1,1,22
211,For,47,47,171
210,For,5,5,32
210,Against,35,35,176
210,Abstain,2,2,3
209,Abstain,2,2,4
209,For,42,42,207
208,Against,8,8,57
208,For,27,27,99
208,Abstain,8,8,61
207,Against,1,1,1
207,Abstain,1,1,1
207,For,49,49,249
206,Against,14,14,72
206,For,42,42,196
205,For,46,46,234
205,Against,2,2,4
205,Abstain,3,3,5
204,For,7,7,22
204,Abstain,1,1,1
204,Against,38,38,213
203,Against,40,40,210
203,For,11,11,25
202,For,14,14,31
202,Abstain,2,2,3
202,Against,23,23,133
201,For,32,32,169
201,Against,6,6,16
200,Abstain,1,1,2
200,Against,40,40,164
200,For,3,3,14
199,For,47,47,226
199,Against,4,4,9
198,For,13,13,46
198,Abstain,7,7,50
198,Against,34,34,151
197,Abstain,2,2,27
197,For,30,30,163
197,Against,2,2,9
196,Against,25,25,181
196,Abstain,1,1,2
196,For,4,4,3
195,Abstain,1,1,0
195,For,39,39,215
194,Abstain,1,1,0
194,For,48,48,230
193,For,43,43,220
193,Against,8,8,45
192,For,35,35,192
192,Against,2,2,8
192,Abstain,2,2,4
191,For,10,10,38
191,Against,22,22,101
191,Abstain,5,5,67
190,For,43,43,234
190,Against,1,1,1
189,For,44,44,114
189,Abstain,4,4,66
189,Against,30,30,118
188,Abstain,7,7,87
188,For,6,6,22
188,Against,20,20,90
187,For,12,12,27
187,Against,14,14,91
186,For,5,5,7
186,Abstain,3,3,4
186,Against,11,11,57
185,For,40,40,182
185,Abstain,1,1,2
184,Against,2,2,2
184,For,41,41,185
183,Abstain,1,1,60
183,For,34,34,114
183,Against,8,8,46
182,Abstain,8,8,74
182,Against,14,14,64
182,For,24,24,82
181,Against,4,4,4
181,For,25,25,89
181,Abstain,1,1,2
180,For,36,36,162
179,Against,5,5,8
179,For,32,32,135
178,Against,12,12,39
178,For,24,24,81
178,Abstain,4,4,67
177,For,38,38,180
177,Against,4,4,20
176,For,32,32,83
176,Against,4,4,13
175,Against,20,20,90
175,Abstain,1,1,1
175,For,21,21,68
174,Against,2,2,1
174,Abstain,1,1,2
174,For,38,38,174
173,Abstain,1,1,0
173,Against,11,11,23
173,For,22,22,107
172,Abstain,3,3,0
172,For,40,40,194
172,Against,1,1,1
171,Abstain,1,1,19
171,Against,3,3,2
171,For,36,36,166
170,For,22,22,91
170,Abstain,1,1,19
170,Against,24,24,67
169,For,32,32,146
169,Against,1,1,0
169,Abstain,1,1,0
168,For,7,7,7
168,Against,26,26,127
168,Abstain,3,3,0
167,Against,23,23,108
167,For,36,36,143
167,Abstain,2,2,0
166,Abstain,1,1,0
166,For,48,48,208
166,Against,1,1,0
165,Against,14,14,109
165,For,9,9,24
164,For,29,29,180
164,Abstain,2,2,3
163,For,31,31,136
163,Against,1,1,2
162,For,37,37,168
162,Against,1,1,0
161,For,38,38,166
159,For,29,29,60
159,Against,5,5,27
158,Against,16,16,65
158,Abstain,1,1,1
158,For,9,9,14
157,Against,20,20,68
157,For,11,11,32
157,Abstain,1,1,1
156,For,31,31,181
156,Abstain,1,1,2
155,Against,1,1,0
155,For,37,37,205
155,Abstain,1,1,2
154,For,37,37,163
152,For,36,36,203
151,Against,3,3,8
151,Abstain,4,4,53
151,For,32,32,112
150,For,30,30,171
150,Against,2,2,2
149,For,2,2,3
149,Abstain,1,1,2
149,Against,7,7,23
147,For,40,40,140
147,Against,6,6,1
146,Abstain,4,4,4
146,Against,14,14,54
146,For,30,30,35
145,Against,6,6,14
145,Abstain,2,2,2
145,For,29,29,149
144,For,11,11,106
144,Against,3,3,31
143,For,32,32,176
142,For,28,28,143
142,Against,1,1,29
141,For,19,19,78
141,Against,8,8,88
140,For,25,25,140
139,Abstain,1,1,0
139,For,32,32,110
139,Against,1,1,0
138,Against,12,12,65
138,For,15,15,87
137,For,19,19,154
137,Against,1,1,0
136,Against,12,12,97
136,For,5,5,43
135,For,21,21,140
134,Against,16,16,123
134,Abstain,1,1,2
134,For,13,13,29
133,Abstain,3,3,9
133,Against,8,8,99
133,For,6,6,26
132,For,14,14,60
132,Against,5,5,58
132,Abstain,1,1,1
131,For,1,1,2
131,Against,4,4,16
130,Abstain,1,1,2
130,Against,10,10,60
130,For,6,6,42
129,Against,1,1,1
129,For,19,19,59
128,For,33,33,111
128,Abstain,1,1,1
127,For,19,19,51
127,Against,10,10,31
126,For,27,27,157
125,For,30,30,161
124,For,25,25,150
124,Abstain,1,1,2
124,Against,1,1,1
123,For,14,14,99
123,Against,2,2,7
122,Against,10,10,72
122,Abstain,2,2,3
122,For,5,5,12
121,Abstain,2,2,8
121,Against,9,9,99
121,For,5,5,27
120,Abstain,2,2,3
120,Against,17,17,130
120,For,5,5,15
119,For,32,32,158
119,Abstain,1,1,1
119,Against,1,1,1
118,For,24,24,69
118,Against,2,2,63
117,For,4,4,9
116,For,24,24,109
114,For,33,33,137
113,Against,1,1,1
113,For,28,28,123
113,Abstain,1,1,1
112,For,27,27,117
112,Abstain,1,1,1
112,Against,1,1,1
111,Abstain,3,3,23
111,For,35,35,117
111,Against,1,1,1
110,For,36,36,138
109,For,28,28,87
109,Against,3,3,4
108,Against,7,7,7
108,For,27,27,136
107,For,8,8,42
107,Abstain,7,7,25
107,Against,9,9,41
106,Against,1,1,1
106,For,19,19,102
105,For,27,27,104
104,For,20,20,68
104,Against,3,3,29
103,For,30,30,114
103,Against,1,1,1
102,Against,1,1,1
102,Abstain,1,1,2
102,For,16,16,68
101,For,21,21,68
101,Abstain,1,1,14
101,Against,1,1,1
100,For,17,17,43
100,Abstain,1,1,1
100,Against,1,1,1
99,Against,2,2,2
99,For,23,23,77
98,Abstain,1,1,6
98,For,12,12,42
97,Abstain,1,1,6
97,For,10,10,80
97,Against,3,3,4
95,For,28,28,139
94,For,14,14,52
94,Against,5,5,33
93,For,15,15,63
93,Against,4,4,52
93,Abstain,2,2,3
92,For,27,27,126
92,Against,1,1,1
91,For,27,27,123
90,Against,1,1,1
90,Abstain,1,1,1
90,For,31,31,132
89,Abstain,2,2,2
89,Against,12,12,89
89,For,9,9,39
87,For,27,27,134
86,Abstain,12,12,77
86,Against,7,7,18
86,For,2,2,2
85,Against,1,1,1
85,For,29,29,129
84,For,23,23,91
84,Against,2,2,2
84,Abstain,2,2,10
83,For,26,26,127
83,Abstain,1,1,2
82,For,24,24,115
82,Against,5,5,22
82,Abstain,1,1,1
81,Abstain,1,1,1
81,Against,22,22,83
81,For,6,6,54
78,For,3,3,5
78,Abstain,2,2,30
78,Against,4,4,45
77,For,15,15,91
77,Abstain,1,1,1
75,For,26,26,120
75,Abstain,2,2,2
75,Against,1,1,1
74,Abstain,3,3,3
74,For,3,3,3
74,Against,12,12,58
73,For,25,25,114
72,For,12,12,31
72,Against,4,4,10
72,Abstain,4,4,61
71,For,13,13,54
70,For,15,15,41
70,Abstain,1,1,1
70,Against,1,1,1
69,For,13,13,59
69,Abstain,2,2,2
68,Abstain,1,1,1
68,For,16,16,67
67,Against,1,1,1
67,For,23,23,85
65,For,17,17,73
65,Against,2,2,2
65,Abstain,1,1,1
64,For,18,18,73
64,Against,1,1,1
63,Against,1,1,1
63,Abstain,1,1,1
63,For,15,15,68
62,For,20,20,71
61,For,26,26,92
60,For,12,12,51
60,Abstain,3,3,14
59,Abstain,1,1,1
59,Against,9,9,62
59,For,1,1,3
58,For,11,11,60
58,Abstain,1,1,1
58,Against,1,1,11
57,For,8,8,48
57,Against,2,2,8
57,Abstain,6,6,16
56,Abstain,2,2,2
56,For,12,12,39
56,Against,1,1,1
55,Abstain,2,2,2
55,Against,11,11,41
55,For,1,1,1
54,For,12,12,41
54,Abstain,3,3,4
53,For,20,20,75
53,Abstain,2,2,1
52,Against,3,3,9
52,For,14,14,42
52,Abstain,4,4,27
51,For,23,23,63
51,Abstain,2,2,2
50,Against,3,3,12
49,Abstain,4,4,28
49,Against,8,8,9
49,For,6,6,33
48,For,16,16,66
48,Against,1,1,5
47,For,15,15,41
47,Abstain,2,2,2
46,Abstain,2,2,3
46,For,16,16,65
45,For,12,12,61
44,For,17,17,78
44,Abstain,2,2,1
44,Against,1,1,1
43,For,20,20,67
42,For,23,23,61
41,For,11,11,42
40,For,18,18,70
39,For,11,11,56
38,For,18,18,72
37,For,17,17,50
37,Against,1,1,14
36,Against,1,1,1
36,For,8,8,45
35,For,11,11,47
34,For,12,12,51
33,Against,1,1,1
33,For,24,24,75
32,For,5,5,36
31,For,6,6,33
30,For,9,9,32
30,Against,2,2,2
29,For,19,19,56
28,Against,1,1,2
28,For,10,10,35
27,For,12,12,34
26,For,15,15,32
25,For,8,8,28
24,Against,7,7,28
24,For,2,2,8
23,For,9,9,39
22,Against,5,5,14
22,Abstain,2,2,10
22,For,13,13,30
21,Abstain,1,1,11
21,Against,7,7,19
21,For,12,12,21
20,For,13,13,47
19,For,7,7,24
18,Abstain,3,3,11
18,Against,1,1,6
18,For,19,19,34
17,For,19,19,46
16,Against,2,2,8
16,For,14,14,27
15,For,11,11,29
14,For,13,13,25
13,For,11,11,20
12,For,10,10,20
11,For,12,12,20
10,For,6,6,21
9,For,14,14,23
8,For,6,6,20
7,For,5,5,9
6,For,10,10,16
5,For,9,9,17
4,For,9,9,14
3,For,9,9,14
2,For,9,9,12
1,For,6,6,7
